sorteo,modo,fecha,aciertos,premio_total,ganadores,premio_por_ganador
2195,baloto,04/06/2022,2+SB,$7.523.136,666,$11.30
2195,baloto,04/06/2022,0+SB,$42.662.000,7.66,$5.57
2194,baloto,01/06/2022,5+SB,$0,0,$0
2194,baloto,01/06/2022,5,$0,0,$0
2194,baloto,01/06/2022,4+SB,$2.817.900,1,$2.817.900
2194,baloto,01/06/2022,4,$3.082.068,22,$140.09
2194,baloto,01/06/2022,3+SB,$2.671.134,38,$70.29
2194,baloto,01/06/2022,3,$8.717.760,864,$10.09
2194,baloto,01/06/2022,2+SB,$6.962.290,607,$11.47
2194,baloto,01/06/2022,0+SB,$32.501.400,5.702,$5.70
2193,baloto,28/05/2022,5+SB,$0,0,$0
2193,baloto,28/05/2022,5,$0,0,$0
2193,baloto,28/05/2022,4+SB,$3.194.302,2,$1.597.151
2193,baloto,28/05/2022,4,$3.493.775,29,$120.48
2193,baloto,28/05/2022,3+SB,$3.027.915,45,$67.29
2193,baloto,28/05/2022,3,$9.882.675,825,$11.98
2193,baloto,28/05/2022,2+SB,$7.892.541,657,$12.01
2193,baloto,28/05/2022,0+SB,$40.327.500,7.075,$5.70
2192,baloto,25/05/2022,5+SB,$0,0,$0
2192,baloto,25/05/2022,5,$0,0,$0
2192,baloto,25/05/2022,4+SB,$0,0,$0
2192,baloto,25/05/2022,4,$3.352.656,24,$139.69
2192,baloto,25/05/2022,3+SB,$2.905.659,69,$42.11
2192,baloto,25/05/2022,3,$9.483.116,841,$11.28
2192,baloto,25/05/2022,2+SB,$7.573.749,669,$11.32
2192,baloto,25/05/2022,0+SB,$42.322.500,7.425,$5.70
2191,baloto,21/05/2022,5+SB,$0,0,$0
2191,baloto,21/05/2022,5,$0,0,$0
2191,baloto,21/05/2022,4+SB,$7.107.241,1,$7.107.241
2191,baloto,21/05/2022,4,$7.773.545,65,$119.59
2191,baloto,21/05/2022,3+SB,$6.737.100,170,$39.63
2191,baloto,21/05/2022,3,$21.988.650,2.55,$8.62
2191,baloto,21/05/2022,2+SB,$17.560.836,1.923,$9.13
2191,baloto,21/05/2022,0+SB,$56.857.500,9.975,$5.70
2190,baloto,18/05/2022,5+SB,$0,0,$0
2190,baloto,18/05/2022,5,$0,0,$0
2190,baloto,18/05/2022,4+SB,$6.147.026,2,$3.073.513
2190,baloto,18/05/2022,4,$6.723.308,43,$156.36
2190,baloto,18/05/2022,3+SB,$5.826.830,89,$65.47
2190,baloto,18/05/2022,3,$19.016.948,1.558,$12.21
2190,baloto,18/05/2022,2+SB,$15.187.784,1.238,$12.27
2190,baloto,18/05/2022,0+SB,$46.597.500,8.175,$5.70
2189,baloto,14/05/2022,5+SB,$0,0,$0
2189,baloto,14/05/2022,5,$0,0,$0
2189,baloto,14/05/2022,4+SB,$7.910.306,2,$3.955.153
2189,baloto,14/05/2022,4,$8.651.910,69,$125.39
2189,baloto,14/05/2022,3+SB,$7.498.380,188,$39.89
2189,baloto,14/05/2022,3,$24.473.064,2.856,$8.57
2189,baloto,14/05/2022,2+SB,$19.545.843,2.069,$9.45
2189,baloto,14/05/2022,0+SB,$57.245.100,10.043,$5.70
2188,baloto,11/05/2022,5+SB,$0,0,$0
2188,baloto,11/05/2022,5,$32.781.842,1,$32.781.842
2188,baloto,11/05/2022,4+SB,$0,0,$0
2188,baloto,11/05/2022,4,$7.185.996,36,$199.61
2188,baloto,11/05/2022,3+SB,$6.227.848,88,$70.77
2188,baloto,11/05/2022,3,$20.325.948,1.734,$11.72
2188,baloto,11/05/2022,2+SB,$16.233.868,1.253,$12.96
2188,baloto,11/05/2022,0+SB,$44.175.000,7.75,$5.70
2187,baloto,07/05/2022,5+SB,$0,0,$0
2187,baloto,07/05/2022,5,$38.436.530,1,$38.436.530
2187,baloto,07/05/2022,4+SB,$7.703.355,5,$1.540.671
2187,baloto,07/05/2022,4,$8.425.549,47,$179.27
2187,baloto,07/05/2022,3+SB,$7.302.099,133,$54.90
2187,baloto,07/05/2022,3,$23.832.600,1.884,$12.65
2187,baloto,07/05/2022,2+SB,$19.033.075,1.817,$10.48
2187,baloto,07/05/2022,0+SB,$71.922.600,12.618,$5.70
2186,baloto,04/05/2022,5+SB,$0,0,$0
2186,baloto,04/05/2022,5,$0,0,$0
2186,baloto,04/05/2022,4+SB,$0,0,$0
2186,baloto,04/05/2022,4,$7.687.120,40,$192.18
2186,baloto,04/05/2022,3+SB,$6.662.208,96,$69.40
2186,baloto,04/05/2022,3,$21.743.462,1.643,$13.23
2186,baloto,04/05/2022,2+SB,$17.365.824,1.239,$14.02
2186,baloto,04/05/2022,0+SB,$56.190.600,9.858,$5.70
2185,baloto,30/04/2022,5+SB,$0,0,$0
2185,baloto,30/04/2022,5,$0,0,$0
2185,baloto,30/04/2022,4+SB,$8.228.101,7,$1.175.443
2185,baloto,30/04/2022,4,$8.999.513,73,$123.28
2185,baloto,30/04/2022,3+SB,$7.799.604,218,$35.78
2185,baloto,30/04/2022,3,$25.455.535,2.653,$9.60
2185,baloto,30/04/2022,2+SB,$20.329.250,2.33,$8.73
2185,baloto,30/04/2022,0+SB,$72.606.600,12.738,$5.70
2184,baloto,27/04/2022,5+SB,$0,0,$0
2184,baloto,27/04/2022,5,$0,0,$0
2184,baloto,27/04/2022,4+SB,$6.508.232,4,$1.627.058
2184,baloto,27/04/2022,4,$7.118.388,57,$124.88
2184,baloto,27/04/2022,3+SB,$6.169.320,120,$51.41
2184,baloto,27/04/2022,3,$20.135.744,2.204,$9.14
2184,baloto,27/04/2022,2+SB,$16.081.512,1.662,$9.68
2184,baloto,27/04/2022,0+SB,$44.517.000,7.81,$5.70
2183,baloto,23/04/2022,5+SB,$0,0,$0
2183,baloto,23/04/2022,5,$0,0,$0
2183,baloto,23/04/2022,4+SB,$7.815.556,2,$3.907.778
2183,baloto,23/04/2022,4,$8.548.265,55,$155.42
2183,baloto,23/04/2022,3+SB,$7.408.512,96,$77.17
2183,baloto,23/04/2022,3,$24.178.853,1.907,$12.68
2183,baloto,23/04/2022,2+SB,$19.310.980,1.445,$13.36
2183,baloto,23/04/2022,0+SB,$52.844.700,9.271,$5.70
2182,baloto,20/04/2022,5+SB,$0,0,$0
2182,baloto,20/04/2022,5,$33.240.609,1,$33.240.609
2182,baloto,20/04/2022,4+SB,$6.662.002,2,$3.331.001
2182,baloto,20/04/2022,4,$7.286.574,34,$214.31
2182,baloto,20/04/2022,3+SB,$6.315.066,123,$51.34
2182,baloto,20/04/2022,3,$20.610.660,1.583,$13.02
2182,baloto,20/04/2022,2+SB,$16.460.400,1.32,$12.47
2182,baloto,20/04/2022,0+SB,$52.394.400,9.192,$5.70
2181,baloto,16/04/2022,5+SB,$0,0,$0
2181,baloto,16/04/2022,5,$0,0,$0
2181,baloto,16/04/2022,4+SB,$5.507.896,8,$688.49
2181,baloto,16/04/2022,4,$6.024.292,76,$79.27
2181,baloto,16/04/2022,3+SB,$5.221.028,118,$44.25
2181,baloto,16/04/2022,3,$17.040.296,2.104,$8.10
2181,baloto,16/04/2022,2+SB,$13.609.044,1.258,$10.82
2181,baloto,16/04/2022,0+SB,$36.525.600,6.408,$5.70
2180,baloto,13/04/2022,5+SB,$0,0,$0
2180,baloto,13/04/2022,5,$35.188.334,1,$35.188.334
2180,baloto,13/04/2022,4+SB,$7.052.358,6,$1.175.393
2180,baloto,13/04/2022,4,$7.713.556,92,$83.84
2180,baloto,13/04/2022,3+SB,$6.684.995,215,$31.09
2180,baloto,13/04/2022,3,$22.522.500,3.003,$7.50
2180,baloto,13/04/2022,2+SB,$17.425.187,2.131,$8.18
2180,baloto,13/04/2022,0+SB,$57.461.700,10.081,$5.70
2179,baloto,09/04/2022,5+SB,$0,0,$0
2179,baloto,09/04/2022,5,$0,0,$0
2179,baloto,09/04/2022,4+SB,$7.836.800,1,$7.836.800
2179,baloto,09/04/2022,4,$8.571.492,36,$238.10
2179,baloto,09/04/2022,3+SB,$7.428.617,131,$56.71
2179,baloto,09/04/2022,3,$24.244.753,1.781,$13.61
2179,baloto,09/04/2022,2+SB,$19.362.825,1.831,$10.58
2179,baloto,09/04/2022,0+SB,$76.180.500,13.365,$5.70
2178,baloto,06/04/2022,5+SB,$0,0,$0
2178,baloto,06/04/2022,5,$0,0,$0
2178,baloto,06/04/2022,4+SB,$6.896.748,4,$1.724.187
2178,baloto,06/04/2022,4,$7.543.305,63,$119.74
2178,baloto,06/04/2022,3+SB,$6.537.573,123,$53.15
2178,baloto,06/04/2022,3,$21.337.536,2.112,$10.10
2178,baloto,06/04/2022,2+SB,$17.040.114,1.313,$12.98
2178,baloto,06/04/2022,0+SB,$49.065.600,8.608,$5.70
2177,baloto,02/04/2022,5+SB,$0,0,$0
2177,baloto,02/04/2022,5,$41.710.538,1,$41.710.538
2177,baloto,02/04/2022,4+SB,$8.359.526,7,$1.194.218
2177,baloto,02/04/2022,4,$9.143.232,96,$95.24
2177,baloto,02/04/2022,3+SB,$7.924.082,223,$35.53
2177,baloto,02/04/2022,3,$25.862.610,3.23,$8.01
2177,baloto,02/04/2022,2+SB,$21.337.500,2.845,$7.50
2177,baloto,02/04/2022,0+SB,$83.658.900,14.677,$5.70
2176,baloto,30/03/2022,5+SB,$0,0,$0
2176,baloto,30/03/2022,5,$0,0,$0
2176,baloto,30/03/2022,4+SB,$6.617.718,2,$3.308.859
2176,baloto,30/03/2022,4,$7.238.140,35,$206.80
2176,baloto,30/03/2022,3+SB,$6.273.089,107,$58.63
2176,baloto,30/03/2022,3,$20.473.355,1.615,$12.68
2176,baloto,30/03/2022,2+SB,$16.351.818,1.322,$12.37
2176,baloto,30/03/2022,0+SB,$48.803.400,8.562,$5.70
2175,baloto,26/03/2022,5+SB,$0,0,$0
2175,baloto,26/03/2022,5,$0,0,$0
2175,baloto,26/03/2022,4+SB,$7.776.171,3,$2.592.057
2175,baloto,26/03/2022,4,$8.505.200,44,$193.30
2175,baloto,26/03/2022,3+SB,$7.371.126,133,$55.42
2175,baloto,26/03/2022,3,$24.058.200,2.02,$11.91
2175,baloto,26/03/2022,2+SB,$19.213.579,1.771,$10.85
2175,baloto,26/03/2022,0+SB,$68.405.700,12.001,$5.70
2174,baloto,23/03/2022,5+SB,$0,0,$0
2174,baloto,23/03/2022,5,$0,0,$0
2174,baloto,23/03/2022,4+SB,$6.156.016,4,$1.539.004
2174,baloto,23/03/2022,4,$6.733.150,25,$269.33
2174,baloto,23/03/2022,3+SB,$5.835.445,115,$50.74
2174,baloto,23/03/2022,3,$19.045.260,1.755,$10.85
2174,baloto,23/03/2022,2+SB,$15.211.152,1.584,$9.60
2174,baloto,23/03/2022,0+SB,$55.871.400,9.802,$5.70
2173,baloto,19/03/2022,5+SB,$0,0,$0
2173,baloto,19/03/2022,5,$0,0,$0
2173,baloto,19/03/2022,4+SB,$7.899.132,3,$2.633.044
2173,baloto,19/03/2022,4,$8.639.677,79,$109.36
2173,baloto,19/03/2022,3+SB,$7.487.735,137,$54.66
2173,baloto,19/03/2022,3,$24.438.183,2.211,$11.05
2173,baloto,19/03/2022,2+SB,$19.516.896,1.844,$10.58
2173,baloto,19/03/2022,0+SB,$75.473.700,13.241,$5.70
2172,baloto,16/03/2022,5+SB,$0,0,$0
2172,baloto,16/03/2022,5,$0,0,$0
2172,baloto,16/03/2022,4+SB,$0,0,$0
2172,baloto,16/03/2022,4,$7.388.675,35,$211.11
